ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
073240,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
012630,0.0,10.0,8.0,12.0,16.0,,3.0,건설
003530,0.0,10.0,8.0,12.0,16.0,,3.0,증권
032350,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
001800,0.0,10.0,8.0,12.0,16.0,,3.0,식품
294870,0.0,10.0,8.0,12.0,16.0,,3.0,건설
030610,0.0,10.0,8.0,12.0,16.0,,3.0,증권
020560,0.0,10.0,8.0,12.0,16.0,,3.0,항공사
093370,0.0,10.0,8.0,12.0,16.0,,3.0,화학
007310,0.0,10.0,8.0,12.0,16.0,,3.0,식품
034230,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
100090,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
003240,0.0,10.0,8.0,12.0,16.0,,3.0,화학
004000,0.0,10.0,8.0,12.0,16.0,,3.0,화학
003090,0.0,10.0,8.0,12.0,16.0,,3.0,제약
330590,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
082640,0.0,10.0,8.0,12.0,16.0,,3.0,생명보험
000210,0.0,10.0,8.0,12.0,16.0,,3.0,화학
181710,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
300720,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
185750,0.0,10.0,8.0,12.0,16.0,,3.0,제약
000080,0.0,10.0,8.0,12.0,16.0,,3.0,음료
415640,0.0,10.0,8.0,12.0,16.0,,3.0,기타
000670,0.0,10.0,8.0,12.0,16.0,,3.0,핸드셋
001740,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
089860,0.0,10.0,8.0,12.0,16.0,,3.0,도로와철도운송
100840,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
137310,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리장비와용품
005300,0.0,10.0,8.0,12.0,16.0,,3.0,음료
281820,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
005690,0.0,10.0,8.0,12.0,16.0,,3.0,화학
365550,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
006120,0.0,10.0,8.0,12.0,16.0,,3.0,석유와가스
192080,0.0,10.0,8.0,12.0,16.0,,3.0,게임엔터테인먼트
280360,0.0,10.0,8.0,12.0,16.0,,3.0,식품
075580,0.0,10.0,8.0,12.0,16.0,,3.0,조선
484870,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
090460,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
036530,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
192400,0.0,10.0,8.0,12.0,16.0,,3.0,가정용기기와용품
451800,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
195870,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
285130,0.0,10.0,8.0,12.0,16.0,,3.0,화학
009450,0.0,10.0,8.0,12.0,16.0,,3.0,가정용기기와용품
006650,0.0,10.0,8.0,12.0,16.0,,3.0,화학
079900,0.0,10.0,8.0,12.0,16.0,,3.0,기계
003470,0.0,10.0,8.0,12.0,16.0,,3.0,증권
298050,0.0,10.0,8.0,12.0,16.0,,3.0,화학
00088K,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
499790,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
057050,0.0,10.0,8.0,12.0,16.0,,3.0,인터넷과카탈로그소매
030190,0.0,10.0,8.0,12.0,16.0,,3.0,상업서비스와공급품
009240,0.0,10.0,8.0,12.0,16.0,,3.0,가구
248070,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
249420,0.0,10.0,8.0,12.0,16.0,,3.0,제약
064960,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
003160,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
003030,0.0,10.0,8.0,12.0,16.0,,3.0,철강
033240,0.0,10.0,8.0,12.0,16.0,,3.0,통신장비
108320,0.0,10.0,8.0,12.0,16.0,,3.0,디스플레이장비및부품
005880,0.0,10.0,8.0,12.0,16.0,,3.0,해운사
071320,0.0,10.0,8.0,12.0,16.0,,3.0,복합유틸리티
010780,0.0,10.0,8.0,12.0,16.0,,3.0,건설
003620,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
456040,0.0,10.0,8.0,12.0,16.0,,3.0,화학
003850,0.0,10.0,8.0,12.0,16.0,,3.0,제약
025540,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
001510,0.0,10.0,8.0,12.0,16.0,,3.0,증권
011930,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
