trade_date,index_code,close,volume,advance_count,decline_count,data_source
20260122,KOSPI,4952.52978515625,568600,514.0,235.0,yfinance
20260123,KOSPI,4990.06982421875,612600,555.0,193.0,yfinance
20260126,KOSPI,4949.58984375,446900,501.0,253.0,yfinance
20260127,KOSPI,5084.85009765625,476200,463.0,285.0,yfinance
20260128,KOSPI,5170.81005859375,593100,496.0,252.0,yfinance
20260129,KOSPI,5221.25,699700,538.0,214.0,yfinance
20260130,KOSPI,5224.35986328125,862500,278.0,478.0,yfinance
20260202,KOSPI,4949.669921875,572500,77.0,687.0,yfinance
20260203,KOSPI,5288.080078125,672600,712.0,52.0,yfinance
20260204,KOSPI,5371.10009765625,789900,498.0,258.0,yfinance
20260205,KOSPI,5163.56982421875,911900,153.0,604.0,yfinance
20260206,KOSPI,5089.14013671875,745800,161.0,597.0,yfinance
20260209,KOSPI,5298.0400390625,617700,695.0,68.0,yfinance
20260210,KOSPI,5301.68994140625,712300,422.0,335.0,yfinance
20260211,KOSPI,5354.490234375,753800,379.0,369.0,yfinance
20260212,KOSPI,5522.27001953125,750600,479.0,265.0,yfinance
20260213,KOSPI,5507.009765625,1290700,245.0,504.0,yfinance
20260219,KOSPI,5677.25,1185800,620.0,137.0,yfinance
20260220,KOSPI,5808.52978515625,1749300,397.0,357.0,yfinance
20260223,KOSPI,5846.08984375,1477800,368.0,394.0,yfinance
20260224,KOSPI,5969.64013671875,1602000,409.0,336.0,yfinance
20260225,KOSPI,6083.85986328125,1415300,329.0,419.0,yfinance
20260226,KOSPI,6307.27001953125,1409600,316.0,441.0,yfinance
20260227,KOSPI,6244.1298828125,1166100,254.0,492.0,yfinance
20260303,KOSPI,5791.91015625,1227200,81.0,686.0,yfinance
20260304,KOSPI,5093.5400390625,1637600,5.0,766.0,yfinance
20260305,KOSPI,5583.89990234375,1660700,764.0,7.0,yfinance
20260306,KOSPI,5584.8701171875,1223000,561.0,199.0,yfinance
20260309,KOSPI,5251.8701171875,1026200,77.0,691.0,yfinance
20260310,KOSPI,5532.58984375,923200,655.0,109.0,yfinance
20260311,KOSPI,5609.9501953125,1050900,502.0,259.0,yfinance
