기준일,추천순위,결합순위,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),상대강도20일,후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank
2026-04-25,43,43,현대그린푸드,453340,KS,식품,16380.0,15969.0,15860.333333333334,15809.583333333334,16001.5,1,62.236238207655575,46.09875938504793,0.9330619877894505,1,0.4907975460122671,1.8656716417910557,1.8656716417910557,2699.4712250194725,,2969.41834752142,DART,TRAILING_DART,,2699.4712250194725,6.067855011079751,32393.65470023367,97.76345970838626,93.77634597083863,0,3.0,58.55842831720387,76.16738714402125,최종매수후보,2.25,BULL,1.0,7.681161075476895,상승여력 98% | 200일↑ | 20일돌파 | RSI우호 | MACD+,,50.9020618556701
2026-04-25,44,44,다우데이타,032190,KQ,증권,23950.0,23642.5,24988.333333333332,21674.916666666668,19823.25,1,49.46512006803977,48.71725809035026,0.7097178310322642,0,-4.581673306772904,-0.8281573498964856,-0.8281573498964856,31323.3151437859,,34455.64665816449,DART,TRAILING_DART,,31323.3151437859,0.7646061692404017,375879.7817254308,1469.435414302425,100.0,0,3.0,51.76666268120157,75.88333134060079,진입대기,2.25,BULL,1.0,10.699733683069372,상승여력 1469% | 200일↑ | RSI우호 | MACD+,,30.025773195876287
2026-04-25,45,45,SNT홀딩스,036530,KS,자동차부품,63800.0,60965.0,60450.0,59114.166666666664,60990.0,1,57.25269961326831,171.4016093015191,0.5711296357371121,0,-0.31250000000000444,2.5723472668810254,2.5723472668810254,13473.50692534283,,14820.857617877116,DART,TRAILING_DART,,13473.50692534283,4.735218555459838,161682.08310411396,153.4201929531567,99.34201929531567,0,3.0,51.90594486160234,75.62398207845901,진입대기,2.25,BULL,1.0,8.065670984801612,상승여력 153% | 200일↑ | RSI우호 | MACD+,,17.010309278350515
2026-04-25,46,46,현대차3우B,005389,KS,자동차,238500.0,236575.0,249333.33333333334,231451.66666666666,205460.5,1,47.56555563996594,1544.1989023581918,1.4389762916867523,0,-2.4539877300613466,-2.6530612244897944,-2.6530612244897944,,40715.0,40715.0,SCRAPE,CONSENSUS_SCRAPE,,40715.0,5.857791968561955,488580.0,104.85534591194967,94.48553459119496,0,3.0,54.8461014147447,74.66581800296983,진입대기,2.25,BULL,1.0,6.972710039133656,상승여력 105% | 200일↑ | RSI우호 | MACD+,EPS스크랩,77.57731958762886
2026-04-25,47,47,금호타이어,073240,KS,자동차부품,6080.0,6042.5,6250.666666666667,5974.333333333333,5506.4,1,50.21094313575051,-0.7408196804235914,1.358048455775014,0,0.9966777408637828,-2.72,-2.72,1311.6083163872909,1498.0,1498.0,DART|DAILY_DISC,TRAILING_DART,,1311.6083163872909,4.635530229593864,15739.29979664749,158.87006244486005,99.887006244486,0,3.0,49.439636513354145,74.66332137892007,진입대기,2.25,BULL,1.0,8.065670984801612,상승여력 159% | 200일↑ | RSI우호,EPS스크랩,75.12886597938144
2026-04-25,48,48,한화손해보험,000370,KS,손해보험,6710.0,6554.0,6859.0,6157.416666666667,6057.35,1,50.93296474571976,27.674613897017778,0.8471517459738266,0,-0.2971768202080227,-0.8862629246676468,-0.8862629246676468,2504.159516987116,,2754.575468685828,DART,TRAILING_DART,,2504.159516987116,2.6795417602122837,30049.914203845394,347.83776756848573,100.0,0,3.0,48.64766459161583,74.32383229580792,진입대기,2.25,BULL,1.0,7.296791982808353,상승여력 348% | 200일↑ | RSI우호 | MACD+,,43.68556701030928
2026-04-25,49,49,KG이니시스,035600,KQ,IT서비스,11250.0,10811.5,10940.166666666666,10670.916666666666,10681.15,1,57.998063141657646,73.07721561267797,0.5989126696698099,0,-2.34375,9.223300970873783,9.223300970873783,2097.0631387674302,,2306.7694526441733,DART,TRAILING_DART,,2097.0631387674302,5.364645342348776,25164.757665209163,123.68673480185923,96.36867348018592,0,3.0,51.118133258619494,73.7434033694027,진입대기,2.25,BULL,1.0,15.002925450414125,상승여력 124% | 200일↑ | RSI우호 | MACD+,,19.716494845360824
2026-04-25,50,50,BNK금융지주,138930,KS,은행,19000.0,18342.0,18760.5,17032.25,16068.35,1,56.4421968563551,97.68966125354073,0.7860273263428295,0,-0.8350730688935326,1.7130620985010614,1.7130620985010614,2694.438949970562,2763.0,2763.0,DART,TRAILING_DART,,2694.438949970562,7.051560771197871,32333.267399646746,70.17509157708814,85.61380952510729,0,3.0,61.860281717838184,73.73704562147273,진입대기,2.25,BULL,1.0,8.380623511050532,상승여력 70% | 200일↑ | RSI우호 | MACD+,,37.371134020618555
2026-04-25,51,51,한국단자,025540,KS,자동차부품,85400.0,78410.0,76165.0,71390.0,68047.0,1,64.60884039160513,982.7854497071085,1.3144739266505905,0,-1.157407407407407,8.513341804320195,8.513341804320195,10494.880672268908,,11544.3687394958,DART,TRAILING_DART,,10494.880672268908,8.137300715162606,125938.5680672269,47.46904925904789,70.85488201838113,0,3.0,76.3944052610394,73.62464363971026,진입대기,2.25,BULL,1.0,8.065670984801612,상승여력 47% | 200일↑ | RSI우호 | MACD+,,73.19587628865979
2026-04-25,52,52,하림지주,003380,KQ,식품,13480.0,13594.5,14875.833333333334,12215.25,10780.45,1,45.53685051197082,27.180348087162315,0.871035724268845,0,-1.3177159590043952,-9.225589225589225,-9.225589225589225,4586.912651464162,,5045.603916610578,DART,TRAILING_DART,,4586.912651464162,2.9387958795546556,55042.95181756995,308.3305030976999,100.0,0,3.0,47.20244399298559,73.6012219964928,진입대기,2.25,BULL,1.0,7.681161075476895,상승여력 308% | 200일↑ | RSI우호 | MACD+,,45.2319587628866
2026-04-25,53,53,명신산업,009900,KS,자동차부품,12000.0,10191.0,9903.5,9413.5,9156.65,1,71.36739142008042,232.95518852321968,1.7078765008674623,1,14.068441064638781,22.44897959183674,22.44897959183674,1302.3581119758169,,1432.5939231733987,DART,TRAILING_DART,,1302.3581119758169,9.214055557879325,15628.297343709803,30.235811197581697,59.65327727842811,0,3.0,87.41615636328329,73.53471682085569,진입대기,2.25,BULL,1.0,8.065670984801612,상승여력 30% | 200일↑ | 20일돌파 | 거래량x1.7 | MACD+,,82.73195876288659
2026-04-25,54,54,현대차2우B,005387,KS,자동차,245000.0,243625.0,260558.33333333334,240168.33333333334,212222.5,1,46.781415618736695,1885.6060168420586,1.087168910672506,0,-2.1956087824351322,-4.669260700389099,-4.669260700389099,,40715.0,40715.0,SCRAPE,CONSENSUS_SCRAPE,,40715.0,6.017438290556306,488580.0,99.42040816326532,93.94204081632654,0,3.0,50.82776715424086,72.3849039852837,진입대기,2.25,BULL,1.0,6.972710039133656,상승여력 99% | 200일↑ | RSI우호 | MACD+,EPS스크랩,61.98453608247423
2026-04-25,55,55,수산인더스트리,126720,KS,에너지장비및서비스,33800.0,28555.0,27515.0,24706.666666666668,23949.5,1,70.61746406973066,361.1849401898587,3.449763490626555,1,13.99662731871838,25.884543761638735,25.884543761638735,3418.2857781744365,,3760.114355991881,DART,TRAILING_DART,,3418.2857781744365,9.887997140499811,41019.429338093236,21.359258396725544,53.883517957871604,0,3.0,90.75368117726335,72.31859956756747,진입대기,2.25,BULL,1.0,30.0,상승여력 21% | 200일↑ | 20일돌파 | 거래량x3.4 | MACD+,,95.74742268041237
2026-04-25,56,56,넥센타이어,002350,KS,자동차부품,7610.0,7382.0,7905.333333333333,7723.0,7054.05,1,53.122415442766275,59.32178851162718,0.871564558719783,0,2.147651006711415,3.256445047489831,3.256445047489831,1547.8373423024236,1587.0,1587.0,DART,TRAILING_DART,,1547.8373423024236,4.9165372820635325,18574.04810762908,144.07421954834535,98.40742195483453,0,3.0,45.9576720062256,72.18254698053006,진입대기,2.25,BULL,1.0,8.065670984801612,상승여력 144% | 200일↑ | RSI우호 | MACD+,,45.36082474226804
2026-04-25,57,57,현대해상,001450,KS,손해보험,30550.0,30287.5,31045.0,29990.0,29061.5,1,50.47655746684774,79.64455211469405,0.7203650320314853,0,0.49342105263157077,-2.861685214626386,-2.861685214626386,11407.383087058166,,12548.121395763985,DART,TRAILING_DART,,11407.383087058166,2.6780901252154314,136888.597044698,348.08051405793117,100.0,0,3.0,43.38516504338806,71.69258252169402,진입대기,2.25,BULL,1.0,7.296791982808353,상승여력 348% | 200일↑ | RSI우호 | MACD+,,30.927835051546392
2026-04-25,58,58,아모레퍼시픽홀딩스,002790,KS,화장품,30100.0,27775.0,29080.833333333332,28182.083333333332,28279.75,1,63.08849884057592,231.22271652004133,3.185500740471471,1,8.078994614003587,2.555366269165238,2.555366269165238,3821.118067040047,,4203.229873744052,DART,TRAILING_DART,,3821.118067040047,7.877275570109867,45853.41680448057,52.336932905251054,74.01900638841317,0,3.0,68.97798809109558,71.49849723975439,진입대기,2.25,BULL,1.0,15.880089461626476,상승여력 52% | 200일↑ | 20일돌파 | 거래량x3.2 | RSI우호 | MACD+,,95.23195876288659
