기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,기술점수,시장상태,레짐비중배수,date,market_regime,regime_weight_multiplier,sector_group
2026-05-06,SFA반도체,036540,KQ,반도체와반도체장비,8890.0,7793.0,7260.0,6045.375,5098.15,1,62.057451066803246,91.25770214764822,1.6068577907447918,0,-10.742971887550201,40.66455696202531,-116.32593052561748,,-127.95852357817924,DART,TRAILING_DART,,-116.32593052561748,-76.42320125728313,-1395.9111663074098,-115.70203786622508,5.0,81.48595791127833,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,에이치브이엠,295310,KQ,비철금속,87100.0,88215.0,88478.33333333333,68965.83333333333,52386.5,1,47.99868785717496,-137.56650063752267,0.8701763913304743,0,0.0,6.479217603911991,1048.5596299283022,,1153.4155929211329,DART,TRAILING_DART,,1048.5596299283022,83.0663297670116,12582.715559139626,-85.55371347974786,5.0,56.04747726131767,BULL,1.0,2026-05-06,BULL,1.0,비철금속
2026-05-06,지투지바이오,456160,KQ,제약,77800.0,75860.0,84665.0,81505.83333333333,,0,48.59714523666319,1346.0737131154551,1.4830309670853348,0,-4.88997555012225,18.778625954198482,-730.5622296862824,,-803.6184526549107,DART,TRAILING_DART,,-730.5622296862824,-106.4933236877149,-8766.746756235389,-111.26831202600948,5.0,27.57907762802121,BULL,1.0,2026-05-06,BULL,1.0,제약
2026-05-06,동국제약,086450,KQ,제약,23350.0,25670.0,22065.833333333332,19975.25,19270.25,1,44.46770071524241,-524.9480371499188,0.5534308686497448,0,-7.707509881422925,-21.906354515050165,1634.5809739551391,1786.0,1786.0,DART,TRAILING_DART,,1634.5809739551391,14.285006599275906,19614.97168746167,-15.995838597594558,26.003641227104765,60.95319927581419,BULL,1.0,2026-05-06,BULL,1.0,제약
2026-05-06,태광,023160,KQ,기계,44700.0,45030.0,35679.166666666664,29968.333333333332,27889.45,1,56.861503915467296,-493.0443676480181,0.7988313184866384,0,-4.077253218884125,2.0547945205479534,2532.717922304976,2054.0,2054.0,DART,TRAILING_DART,,2532.717922304976,17.649024238482674,30392.615067659714,-32.00757255557111,11.993374013875279,70.63987487913792,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,젬백스,082270,KQ,반도체와반도체장비,22500.0,25572.5,34685.833333333336,33332.916666666664,40577.75,0,30.671597212447864,171.95575777615386,0.7267127042127641,0,-11.24260355029586,-19.064748201438853,-256.08408615352755,,-281.69249476888035,DART,TRAILING_DART,,-256.08408615352755,-87.86176578934624,-3073.0090338423306,-113.65781792818814,5.0,12.963756366197519,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,유일로보틱스,388720,KQ,기계,101200.0,95220.0,103345.0,97241.66666666667,87936.0,1,54.48416270776309,1438.8990539235801,1.1770033155503403,0,-2.5986525505293567,23.114355231143556,-2094.0073090975607,,-2303.408040007317,DART,TRAILING_DART,,-2094.0073090975607,-48.3283890941209,-25128.08770917073,-124.83012619483273,5.0,58.955267667287394,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,에스티큐브,052020,KQ,판매업체,18850.0,17378.0,14156.333333333334,10948.25,9633.6,1,57.04238791763575,147.05143570613177,0.6751578244165466,0,-7.14285714285714,23.76887721602101,-320.66229746070985,,-352.7285272067809,DART,TRAILING_DART,,-320.66229746070985,-58.78458474623028,-3847.947569528518,-120.41351495771097,5.0,77.17401805089474,BULL,1.0,2026-05-06,BULL,1.0,판매업체
2026-05-06,솔브레인홀딩스,036830,KQ,전기제품,71200.0,61930.0,55290.833333333336,48142.916666666664,46142.25,1,61.74790955098424,1193.2076045169415,1.0213049300939236,0,0.28169014084507005,49.57983193277311,24168.868325570533,,26585.755158127587,DART,TRAILING_DART,,24168.868325570533,2.9459385123411335,290026.41990684636,307.34047739725617,100.0,80.87885524356388,BULL,1.0,2026-05-06,BULL,1.0,전기제품
2026-05-06,카카오게임즈,293490,KQ,게임엔터테인먼트,11620.0,12211.0,13380.0,14514.333333333334,15265.35,0,35.04680263414744,-3.79022647857488,1.4963909806489541,0,-6.591639871382638,0.9556907037358897,-1593.6024024147573,-111.0,-111.0,DART|DAILY_DISC,TRAILING_DART,,-1593.6024024147573,-7.291655674208586,-19123.228828977088,-264.5716766693381,5.0,15.389804266597704,BULL,1.0,2026-05-06,BULL,1.0,게임엔터테인먼트
2026-05-06,앱클론,174900,KQ,생물공학,46050.0,51360.0,61091.666666666664,52667.5,37225.05,1,37.94495556225318,-64.09208798621148,1.282022663955662,0,-16.877256317689525,-8.083832335329344,-898.6951772878084,,-988.5646950165892,DART,TRAILING_DART,,-898.6951772878084,-51.24095595903306,-10784.342127453701,-123.41876683486146,5.0,44.87035972091922,BULL,1.0,2026-05-06,BULL,1.0,생물공학
2026-05-06,기가비스,420770,KQ,반도체와반도체장비,103400.0,93165.0,77950.0,57616.666666666664,46711.25,1,62.6291579512695,922.5049462399265,0.9244471404367262,0,2.4777006937561907,28.12887236679058,1219.0353690879867,,1340.9389059967857,DART,TRAILING_DART,,1219.0353690879867,84.82116485049816,14628.424429055842,-85.85258759278932,5.0,77.62303034329884,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,제이앤티씨,204270,KQ,핸드셋,22500.0,18649.0,19141.333333333332,19979.0,20280.3,1,67.75836613573051,297.49004962703225,9.001930098669442,1,6.635071090047395,53.06122448979591,-1583.1111369314442,,-1741.4222506245887,DART,TRAILING_DART,,-1583.1111369314442,-14.212520823782413,-18997.33364317733,-184.43259396967701,5.0,81.1971889564219,BULL,1.0,2026-05-06,BULL,1.0,핸드셋
