추천순위,결합순위,날짜,종목명,종목코드,시장,섹터그룹,종가,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,최근EPS(DART),컨센서스EPS(스크래),향후예상EPS,EPS출처,모델EPS,정정가_기본,상승잠재(%),발휘지수,기술지수,종합지수,적자여부,최대비중(%),결합액션,포트비중(%),마켓레짐,레짐비중배수,투자사유약,주의사항
55,55,2026-05-09,KB발해인프라,415640,KS,기타,10020.0,9525.4,1,,4.058501069091354,0.756709224793348,0,,,,FORWARD_AUTO,,,,,95.0,95.0,0,3.0,관심종목,0.0,NEUTRAL,1.0,200일선상단 | MACD+ | 비교차부여,"EPS스크래핑,EPS미확보"
56,56,2026-05-09,코웨이,021240,KS,가정용기기와용품,87600.0,89683.5,0,,255.26217226111797,0.8930810936570194,1,617510076654.0,9702.0,9702.0,TRAILING_DART,617510076654.0,7410120919848.0,8459042045.945205,100.0,90.0,95.0,0,3.0,관심종목,2.75,NEUTRAL,1.0,상승잠재 8459042046% | 20일돌파 | MACD+,EPS스크래핑
57,57,2026-05-09,하이록코리아,013030,KQ,기계,43500.0,34722.25,1,,-47.3220695714931,1.2335899376720785,0,50772133463.0,,4745.807563988001,TRAILING_DART,50772133463.0,609265601556.0,1400610478.2896552,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 1400610478% | 200일선상단,EPS스크래핑
58,58,2026-05-09,현대해상,001450,KS,손해보험,31050.0,29198.0,1,,86.81092108055657,0.9538439917907164,0,11407.383087058166,,12548.121395763985,TRAILING_DART,11407.383087058166,136888.597044698,340.8650468428276,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 341% | 200일선상단 | MACD+,EPS스크래핑
59,59,2026-05-09,인화정공,101930,KQ,조선,14130.0,9583.1,1,,499.0477492452269,1.362607422669233,0,2769.102616062893,,3046.0128776691827,TRAILING_DART,2769.102616062893,33229.231392754715,135.16795040873825,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 135% | 200일선상단 | MACD+,EPS스크래핑
60,60,2026-05-09,서희건설,035890,KQ,건설,2785.0,1673.13,1,,138.7238496517877,1.2137858158027828,0,524.790316019571,,577.2693476215281,TRAILING_DART,524.790316019571,6297.483792234852,126.12150061884569,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 126% | 200일선상단 | MACD+,EPS스크래핑
61,61,2026-05-09,SK디스커버리,006120,KS,석유와가스,59100.0,57425.75,1,,14.288499305391838,0.7966286690388672,0,8305.309969402917,,9135.84096634321,TRAILING_DART,8305.309969402917,99663.71963283501,68.63573541934858,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 69% | 200일선상단 | MACD+,EPS스크래핑
62,62,2026-05-09,서부T&D,006730,KQ,"호텔,레스토랑,레저",14100.0,12132.5,1,,45.94600073568961,0.7415404191770235,0,1789.664963901031,712.0,712.0,TRAILING_DART,1789.664963901031,21475.97956681237,52.31191182136432,100.0,90.0,95.0,0,3.0,진입_관심,2.75,NEUTRAL,1.0,상승잠재 52% | 200일선상단 | MACD+,EPS스크래핑
63,63,2026-05-09,HDC,012630,KS,건설,27800.0,21184.45,1,,-48.1675635613463,0.6333366038676675,0,416483422703.0,,7668.539796054754,TRAILING_DART,416483422703.0,4997801072436.0,17977701599.410072,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 17977701599% | 200일선상단,EPS스크래핑
64,64,2026-05-09,동원산업,006040,KS,식품,39100.0,43173.0,0,,12.998670079139911,2.360760604756483,0,387148699085.0,6682.0,6682.0,TRAILING_DART,387148699085.0,4645784389020.0,11881801406.445013,100.0,85.0,92.5,0,3.0,관심종목,2.625,NEUTRAL,1.0,상승잠재 11881801406% | 거래량상승2.4x | MACD+,EPS스크래핑
65,65,2026-05-09,한라IMS,092460,KQ,조선,18800.0,15492.65,1,,-33.48545770391797,0.4483103111691512,0,25489380431.0,,1638.740085968879,TRAILING_DART,25489380431.0,305872565172.0,1626981629.6382978,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 1626981630% | 200일선상단,EPS스크래핑
66,66,2026-05-09,성광벤드,014620,KQ,기계,41350.0,32437.5,1,,-115.22714554531422,1.0126377399809132,0,34432123396.0,1639.0,1639.0,TRAILING_DART,34432123396.0,413185480752.0,999239273.0399033,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 999239273% | 200일선상단,EPS스크래핑
67,67,2026-05-09,코오롱인더,120110,KS,화학,91900.0,51728.25,1,,-463.4230362042072,0.7013618185612905,0,51573520480.0,4528.0,4528.0,TRAILING_DART,51573520480.0,618882245760.0,673429982.437432,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 673429982% | 200일선상단,EPS스크래핑
68,68,2026-05-09,KG에코솔루션,151860,KQ,자동차,6830.0,6104.5,1,,-17.502476145312983,1.0775573280647102,0,3859.0686867815607,,4244.975555459717,TRAILING_DART,3859.0686867815607,46308.82424137873,578.0208527288248,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 578% | 200일선상단,EPS스크래핑
69,69,2026-05-09,농심홀딩스,072710,KS,식품,96400.0,91921.5,1,,-107.04882397108304,0.676579854278062,0,24705.90139764845,,27176.49153741329,TRAILING_DART,24705.90139764845,296470.8167717814,207.54234104956578,100.0,85.0,92.5,0,3.0,진입_관심,2.625,NEUTRAL,1.0,상승잠재 208% | 200일선상단,EPS스크래핑
