trade_date,ticker,open,high,low,close,adj_close,volume,value_traded,data_source,market,stale_flag
20260105,005930,134600.0,138600.0,133600.0,138100.0,137814.75,42863376,5919432225600.0,yfinance,KS,1
20260106,005930,135300.0,139300.0,132700.0,138900.0,138613.09375,45321341,6295134264900.0,yfinance,KS,1
20260107,005930,143500.0,144400.0,137600.0,141000.0,140708.765625,46317413,6530755233000.0,yfinance,KS,1
20260108,005930,138300.0,144500.0,138300.0,138800.0,138513.296875,41449329,5753166865200.0,yfinance,KS,1
20260109,005930,136000.0,140700.0,135200.0,139000.0,138712.890625,29520566,4103358674000.0,yfinance,KS,1
20260112,005930,141000.0,142000.0,136900.0,138800.0,138513.296875,26271134,3646433399200.0,yfinance,KS,1
20260113,005930,139800.0,140200.0,136900.0,137600.0,137315.78125,22384699,3080134582400.0,yfinance,KS,1
20260114,005930,137000.0,140300.0,136800.0,140300.0,140010.203125,18444394,2587748478200.0,yfinance,KS,1
20260115,005930,139000.0,144000.0,138300.0,143900.0,143602.765625,24701126,3554492031400.0,yfinance,KS,1
20260116,005930,145300.0,149500.0,144300.0,148900.0,148592.4375,30000219,4467032609100.0,yfinance,KS,1
20260119,005930,147200.0,150600.0,146600.0,149300.0,148991.609375,22762497,3398440802100.0,yfinance,KS,1
20260120,005930,148500.0,149300.0,143900.0,145200.0,144900.078125,24059218,3493398453600.0,yfinance,KS,1
20260121,005930,141900.0,149800.0,141800.0,149500.0,149191.203125,31703610,4739689695000.0,yfinance,KS,1
20260122,005930,155000.0,157000.0,150800.0,152300.0,151985.421875,32073624,4884812935200.0,yfinance,KS,1
20260123,005930,154700.0,156000.0,150100.0,152100.0,151785.828125,25407497,3864480293700.0,yfinance,KS,1
20260126,005930,154900.0,156400.0,151500.0,152100.0,151785.828125,20561689,3127432896900.0,yfinance,KS,1
20260127,005930,150500.0,159500.0,149200.0,159500.0,159170.546875,29423670,4693075365000.0,yfinance,KS,1
20260128,005930,162600.0,163300.0,160200.0,162400.0,162064.5625,29456431,4783724394400.0,yfinance,KS,1
20260129,005930,166200.0,166600.0,157100.0,160700.0,160368.0625,36087223,5799216736100.0,yfinance,KS,1
20260130,005930,160100.0,166500.0,160100.0,160500.0,160168.484375,40557267,6509441353500.0,yfinance,KS,1
20260202,005930,155700.0,159600.0,150400.0,150400.0,150089.34375,39748369,5978154697600.0,yfinance,KS,1
20260203,005930,157900.0,167500.0,157200.0,167500.0,167154.015625,36529813,6118743677500.0,yfinance,KS,1
20260204,005930,163500.0,169400.0,163100.0,169100.0,168750.71875,29943042,5063368402200.0,yfinance,KS,1
20260205,005930,162000.0,164000.0,158500.0,159300.0,158970.953125,38435228,6122731820400.0,yfinance,KS,1
20260206,005930,154100.0,160300.0,151600.0,158600.0,158272.40625,36358081,5766391646600.0,yfinance,KS,1
20260209,005930,168600.0,168700.0,165000.0,166400.0,166056.296875,25098971,4176468774400.0,yfinance,KS,1
20260210,005930,167400.0,168100.0,165500.0,165800.0,165457.53125,19369566,3211474042800.0,yfinance,KS,1
20260211,005930,164000.0,168600.0,162000.0,167800.0,167453.40625,22760242,3819168607600.0,yfinance,KS,1
20260212,005930,171200.0,179600.0,170100.0,178600.0,178231.09375,41296011,7375467564600.0,yfinance,KS,1
20260213,005930,179500.0,184400.0,178900.0,181200.0,180825.71875,34454192,6243099590400.0,yfinance,KS,1
20260219,005930,188000.0,190900.0,187100.0,190000.0,189607.546875,27049388,5139383720000.0,yfinance,KS,1
20260220,005930,190000.0,190300.0,188600.0,190100.0,189707.34375,24213880,4603058588000.0,yfinance,KS,1
20260223,005930,194400.0,197600.0,190500.0,193000.0,192601.34375,26364684,5088384012000.0,yfinance,KS,1
20260224,005930,193000.0,200000.0,192000.0,200000.0,199586.890625,28060617,5612123400000.0,yfinance,KS,1
20260225,005930,202500.0,206000.0,201000.0,203500.0,203079.65625,26987996,5492057186000.0,yfinance,KS,1
20260226,005930,206500.0,219000.0,206000.0,218000.0,217549.71875,30095763,6560876334000.0,yfinance,KS,1
20260227,005930,210000.0,223000.0,210000.0,216500.0,216052.8125,51774768,11209237272000.0,yfinance,KS,1
20260303,005930,209500.0,212500.0,195100.0,195100.0,194697.015625,54879010,10706894851000.0,yfinance,KS,1
20260304,005930,184200.0,195900.0,171900.0,172200.0,171844.3125,89427954,15399493678800.0,yfinance,KS,1
20260305,005930,195000.0,199700.0,188100.0,191600.0,191204.25,53959129,10338569116400.0,yfinance,KS,1
20260306,005930,186100.0,189700.0,181000.0,188200.0,187811.265625,29522650,5556162730000.0,yfinance,KS,1
20260309,005930,173500.0,175500.0,167300.0,173500.0,173141.625,43066020,7471954470000.0,yfinance,KS,1
20260310,005930,187600.0,191500.0,184300.0,187900.0,187511.890625,33530170,6300318943000.0,yfinance,KS,1
20260311,005930,193000.0,194800.0,187700.0,190000.0,189607.546875,24311356,4619157640000.0,yfinance,KS,1
20260312,005930,186600.0,190000.0,185900.0,187900.0,187511.890625,20440753,3840817488700.0,yfinance,KS,1
20260313,005930,180000.0,186200.0,179900.0,183500.0,183120.96875,19566331,3590421738500.0,yfinance,KS,1
20260316,005930,184600.0,189000.0,183600.0,188700.0,188310.234375,19747901,3726428918700.0,yfinance,KS,1
20260317,005930,198000.0,198000.0,193100.0,193900.0,193499.484375,20300082,3936185899800.0,yfinance,KS,1
20260318,005930,200500.0,209000.0,199700.0,208500.0,208069.328125,25148481,5243458288500.0,yfinance,KS,1
20260319,005930,199900.0,205000.0,199600.0,200500.0,200085.859375,19884483,3986838841500.0,yfinance,KS,1
20260320,005930,202000.0,202500.0,199000.0,199400.0,198988.125,35279762,7034784542800.0,yfinance,KS,1
20260323,005930,190500.0,191200.0,186300.0,186300.0,185915.1875,30268173,5638960629900.0,yfinance,KS,1
20260324,005930,195500.0,196000.0,185500.0,189700.0,189308.171875,25458914,4829555985800.0,yfinance,KS,1
20260325,005930,193700.0,196400.0,189000.0,189000.0,188609.609375,22995904,4346225856000.0,yfinance,KS,1
20260326,005930,185500.0,185900.0,178900.0,180100.0,179728.0,32074131,5776550993100.0,yfinance,KS,1
20260327,005930,172100.0,181700.0,172000.0,180100.0,179728.0,29138966,5247927776600.0,yfinance,KS,1
20260330,005930,171000.0,176650.0,170600.0,176300.0,176300.0,22269147,3926050616100.0,yfinance,KS,1
20260331,005930,170000.0,174700.0,167000.0,167200.0,167200.0,38659593,6463883949600.0,yfinance,KS,1
20260401,005930,179000.0,190800.0,178000.0,189650.0,189650.0,32390251,6142811102150.0,yfinance,KS,1
20260402,005930,192600.0,193600.0,175000.0,178400.0,178400.0,38615231,6888957210400.0,yfinance,KS,1
20260403,005930,184200.0,187200.0,182700.0,186200.0,186200.0,20194447,3760206031400.0,yfinance,KS,1
20260406,005930,190900.0,194600.0,190100.0,193100.0,193100.0,20635958,3984803489800.0,yfinance,KS,1
20260407,005930,202000.0,202500.0,192400.0,196500.0,196500.0,30848053,6061642414500.0,yfinance,KS,1
20260408,005930,214000.0,214500.0,207500.0,210500.0,210500.0,35890973,7555049816500.0,yfinance,KS,1
20260409,005930,207000.0,207500.0,202000.0,204000.0,204000.0,42320839,8633451156000.0,yfinance,KS,1
20260410,005930,208500.0,211000.0,205500.0,206000.0,206000.0,18244459,3758358554000.0,yfinance,KS,1
20260413,005930,198200.0,203000.0,198200.0,201000.0,201000.0,19603415,3940286415000.0,yfinance,KS,1
20260414,005930,208000.0,210000.0,205500.0,206500.0,206500.0,23672078,4888284107000.0,yfinance,KS,1
20260415,005930,215000.0,215500.0,210000.0,211000.0,211000.0,24092884,5083598524000.0,yfinance,KS,1
20260416,005930,212000.0,218000.0,210500.0,217500.0,217500.0,21499788,4676203890000.0,yfinance,KS,1
20260417,005930,217000.0,218000.0,215000.0,216000.0,216000.0,18079322,3905133552000.0,yfinance,KS,1
20260420,005930,214500.0,219000.0,213000.0,214500.0,214500.0,17107741,3669610444500.0,yfinance,KS,1
20260421,005930,218000.0,220000.0,216000.0,219000.0,219000.0,16752132,3668716908000.0,yfinance,KS,1
20260422,005930,218500.0,222500.0,215500.0,217500.0,217500.0,16823480,3659106900000.0,yfinance,KS,1
20260423,005930,223000.0,229500.0,216000.0,224500.0,224500.0,34525485,7750971382500.0,yfinance,KS,1
20260424,005930,224000.0,225000.0,216500.0,219500.0,219500.0,19626666,4308053187000.0,yfinance,KS,1
20260427,005930,220000.0,226000.0,218500.0,224500.0,224500.0,22870374,5134398963000.0,yfinance,KS,1
20260428,005930,224000.0,226000.0,221500.0,222000.0,222000.0,18444490,4094676780000.0,yfinance,KS,1
20260429,005930,219500.0,228000.0,218500.0,226000.0,226000.0,20363756,4602208856000.0,yfinance,KS,1
20260430,005930,229000.0,230000.0,220500.0,220500.0,220500.0,22161975,4886715487500.0,yfinance,KS,1
20260504,005930,228000.0,232500.0,224000.0,232500.0,232500.0,32920816,7654089720000.0,yfinance,KS,1
