기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,선택신호,선택신호_신뢰도,선택신호_5일승률(%),선택신호_기대값5일(%),선택신호_발생건수,거래량비율20일,거래량신호점수,거래량백분위(시장내%),거래량판정,과거거래량신호_5일승률(%),과거거래량신호_기대값5일(%),20일돌파,200일선상단여부,RSI14,종합점수,최종판단점수,초보자설명,판단코멘트
2026-04-25,42,영원무역홀딩스,009970,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.14배(보통, 시장내 상위 65%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.1386245812475322,19.919093014560715,65.20618556701031,보통,,,0,1,46.533083289288705,77.01983221279289,53.91388254895502,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,43,현대그린푸드,453340,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.93배(보통, 시장내 상위 51%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,0.9330619877894505,7.827175752320614,50.9020618556701,보통,,,1,1,62.236238207655575,76.16738714402125,53.317171000814874,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,44,다우데이타,032190,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.71배(약함, 시장내 상위 30%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.7097178310322642,0.0,30.025773195876287,약함,,,0,1,49.46512006803977,75.88333134060079,53.11833193842055,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,45,SNT홀딩스,036530,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.57배(약함, 시장내 상위 17%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.5711296357371121,0.0,17.010309278350515,약함,,,0,1,57.25269961326831,75.62398207845901,52.9367874549213,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,46,현대차3우B,005389,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.44배(관심증가, 시장내 상위 78%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.4389762916867523,37.58684068745602,77.57731958762886,관심증가,,,0,1,47.56555563996594,74.66581800296983,52.26607260207888,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,47,금호타이어,073240,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.36배(관심증가, 시장내 상위 75%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.358048455775014,32.82637975147142,75.12886597938144,관심증가,,,0,1,50.21094313575051,74.66332137892007,52.26432496524405,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,48,한화손해보험,000370,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.85배(보통, 시장내 상위 44%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.8471517459738266,2.7736321161074438,43.68556701030928,보통,,,0,1,50.93296474571976,74.32383229580792,52.02668260706554,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,49,KG이니시스,035600,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.60배(약함, 시장내 상위 20%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.5989126696698099,0.0,19.716494845360824,약함,,,0,1,57.998063141657646,73.7434033694027,51.620382358581885,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,50,BNK금융지주,138930,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.79배(약함, 시장내 상위 37%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.7860273263428295,0.0,37.371134020618555,약함,,,0,1,56.4421968563551,73.73704562147273,51.61593193503091,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,55,수산인더스트리,126720,KS,관찰후진입,"신호:거래량급증_2.5배 (과거5일 승률 50.2%, 기대값 2.45%) | 거래량:3.45배(매우강함, 시장내 상위 96%) | 추세:200일선 상단 / 돌파:있음",거래량급증_2.5배,높음,50.176909972480665,2.4484615591108576,7631.0,3.449763490626555,100.0,95.74742268041237,매우강함,50.176909972480665,2.4484615591108576,1,1,70.61746406973066,72.31859956756747,51.602404320941574,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:거래량급증_2.5배
2026-04-25,51,한국단자,025540,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.31배(관심증가, 시장내 상위 73%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.3144739266505905,30.263172155917083,73.19587628865979,관심증가,,,0,1,64.60884039160513,73.62464363971026,51.53725054779718,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
