추천순위,결합순위,기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank,선정의견,판단코멘트
33,33,2026-04-28,한국캐피탈,023760,KQ,기타금융,981.0,954.9,972.15,885.5916666666667,850.745,1,54.01715872157608,3.469641398670257,0.8868243276371368,0,-0.4060913705583702,6.8627450980392135,318.5000031811456,,350.3500034992602,DART,TRAILING_DART,,318.5000031811456,3.0800627635851554,3822.0000381737473,289.60245037449,100.0,0,3.0,58.26974370682538,79.13487185341269,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,44.329896907216494,우선검토,추세는 양호하지만 확인이 더 필요합니다.
34,34,2026-04-28,태영건설,009410,KS,건설,2045.0,1983.45,1835.5666666666664,1750.1333333333334,1848.385,1,55.67891720970871,-5.752517193388108,0.6715635250700099,0,-3.7647058823529367,16.657159155733027,322.0178640263672,,354.21965042900393,DART,TRAILING_DART,,322.0178640263672,6.350579357400349,3864.2143683164063,88.9591378149832,92.89591378149832,0,3.0,64.65717712566835,78.77654545358334,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,23.969072164948454,우선검토,추세는 양호하지만 확인이 더 필요합니다.
35,35,2026-04-28,DN오토모티브,007340,KS,자동차부품,41000.0,38215.0,33406.666666666664,29083.75,27601.75,1,58.31823753606816,191.66948705079767,0.7955604517003526,0,4.725415070242667,7.470511140235914,5554.27368916867,,6109.701058085538,DART,TRAILING_DART,,5554.27368916867,7.381703224303416,66651.28427002404,62.564107975668406,80.66667018418447,0,3.0,76.78555548751326,78.72611283584887,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,36.340206185567006,우선검토,추세는 양호하지만 확인이 더 필요합니다.
36,36,2026-04-28,금호타이어,073240,KS,자동차부품,6120.0,6057.5,6254.166666666667,5997.958333333333,5521.05,1,51.53881487333012,11.853237677731428,3.7832912050817136,0,2.5125628140703515,2.857142857142847,1311.6083163872909,1498.0,1498.0,DART|DAILY_DISC,TRAILING_DART,,1311.6083163872909,4.666027138999087,15739.29979664749,157.17810125240996,99.717810125241,0,3.0,57.71074842345728,78.71427927434914,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,96.52061855670104,우선검토,추세는 양호하지만 확인이 더 필요합니다.
37,37,2026-04-28,미래에셋증권2우B,00680K,KS,증권,20400.0,20207.0,19850.53933919271,15389.4353515625,12843.981508789062,1,51.25658211387928,-39.05551080652697,1.0457422078846246,0,-0.9708737864077666,8.16542948038177,,3466.0,3466.0,SCRAPE,CONSENSUS_SCRAPE,,3466.0,5.885747259088286,41592.0,103.88235294117649,94.38823529411765,0,3.0,62.44567394368564,78.41695461890164,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,60.953608247422686,우선검토,추세는 양호하지만 확인이 더 필요합니다.
38,38,2026-04-28,한국금융지주,071050,KS,증권,258500.0,244025.0,235796.66666666663,202271.66666666663,180147.0,1,60.46131881767567,1082.613340626005,0.8549852165465732,0,-1.3358778625954248,27.654320987654323,36326.89033153506,36407.0,36407.0,DART,TRAILING_DART,,36326.89033153506,7.115940771170231,435922.68397842074,68.63546768991131,84.61305399844235,0,3.0,71.29945359803541,77.95625379823889,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,41.23711340206185,우선검토,추세는 양호하지만 확인이 더 필요합니다.
39,39,2026-04-28,세방전지,004490,KS,자동차부품,66100.0,61815.0,63083.333333333336,63231.66666666666,64286.0,1,64.39871302302419,637.3234926001662,1.4412331584025495,1,1.5360983102918668,11.09243697478992,10204.202214502164,,11224.62243595238,DART,TRAILING_DART,,10204.202214502164,6.477723452604555,122450.42657402597,85.25026713165803,92.5250267131658,0,3.0,62.749030670949764,77.63702869205778,최종매수후보,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,80.28350515463917,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
40,40,2026-04-28,한국단자,025540,KS,자동차부품,89300.0,79605.0,76588.33333333333,71818.33333333333,68268.0,1,70.36472275749502,938.4056880468312,1.804047282996896,1,4.322429906542058,17.810026385224266,10494.880672268908,,11544.3687394958,DART,TRAILING_DART,,10494.880672268908,8.508910466791813,125938.5680672269,41.02863165422945,66.66861057524915,0,3.0,87.22365137773667,76.94613097649291,최종매수후보,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,86.34020618556701,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
41,41,2026-04-28,다우데이타,032190,KQ,증권,24100.0,23820.0,24964.166666666668,21785.33333333333,19870.95,1,50.16813444493478,37.29758138558101,0.8340776309212629,0,-2.032520325203257,9.79498861047836,31323.3151437859,,34455.64665816449,DART,TRAILING_DART,,31323.3151437859,0.7693949343922205,375879.7817254308,1459.6671440889245,100.0,0,3.0,53.5238946714514,76.7619473357257,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,39.43298969072165,우선검토,추세는 양호하지만 확인이 더 필요합니다.
42,42,2026-04-28,아이티센글로벌,124500,KQ,IT서비스,52000.0,49660.0,53212.5,40093.833333333336,31364.7,1,51.61578642746464,309.4889376052856,1.5893805906220586,0,11.34903640256959,13.910186199342832,8545.071342544496,,9399.578476798946,DART,TRAILING_DART,,8545.071342544496,6.085379268994585,102540.85611053395,97.19395405871913,93.71939540587191,0,3.0,59.57246506707539,76.64593023647365,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,83.6340206185567,우선검토,추세는 양호하지만 확인이 더 필요합니다.
